product,product_uom_qty,name,location_dest_id/id,location_id/id,product_uom/id
235/50 WR18 RE-002 ADRENALIN,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/55 HR18 DESERT HAWK,1,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/55 R18 RE031,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/55 VR18 VEURO302 DUNLOP,15,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/60 HR16 D-687,14,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/60 R 17 MAXXIS 707,5,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/60 SR16 ST20 DUNLOP,10,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/70 R15 D-697 OWT,9,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/70 R16 DESERT HAWK,2,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/70 SR15 D-683,10,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/70 SR15 D-694 RBT,1,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/70 VR15 TG30 DUNLOP,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/75 R15 D-674 OWT,5,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/75 SR15 D-689,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/75 SR15 D-697 OWT,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
235/75 SR15 TG20 DUNLOP,5,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
245/40 R20 DERERT HAWK UHP,3,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
245/45 R17 ATR SPORT,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
